GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.mapper,CourseMapper,142,0,6,0,32,0,7,0,4,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.mapper,LearnerMapper,223,0,8,0,51,0,9,0,5,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.mapper,CohortMapper,226,0,10,0,51,0,10,0,5,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.entity,Learner,35,22,0,0,13,9,7,5,7,5
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.entity,Cohort,24,32,0,0,8,13,3,8,3,8
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.entity,Course,31,22,0,0,11,9,5,5,5,5
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.controller,LearnerController,73,3,0,0,17,1,8,1,8,1
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.controller,CourseController,40,3,0,0,8,1,7,1,7,1
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.controller,CohortController,41,3,0,0,9,1,6,1,6,1
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.dto,CohortDTO,43,0,0,0,19,0,10,0,10,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.dto,LearnerDTO,63,0,0,0,26,0,13,0,13,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.dto,CourseDTO,46,0,0,0,20,0,10,0,10,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem,LearnerManagementSystemApplication,5,3,0,0,2,1,1,1,1,1
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.exception,CohortNotFoundException,4,0,0,0,2,0,1,0,1,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.exception,LearnerNotFoundException,0,4,0,0,0,2,0,1,0,1
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.exception,CourseNotFoundException,4,0,0,0,2,0,1,0,1,0
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.service,LearnerManagementService,244,26,25,1,51,6,21,4,8,4
LearnerManagementSystem,com.learnermanagement.LearnerManagementSystem.service,CourseService,128,3,10,0,26,1,10,1,5,1
